,Amateur Team,GP,Name,Overall Pick,Year
0,Cornwall (OHL),1200,Owen Nolan,1,1990
1,Seattle (WHL),982,Petr Nedved,2,1990
2,Niagara Falls (OHL),909,Keith Primeau,3,1990
3,Peterborough (OHL),1099,Mike Ricci,4,1990
4,Poldi Kladno (Czech),1733,Jaromir Jagr,5,1990
5,Saskatoon (WHL),2,Scott Scissons,6,1990
6,Kamloops (WHL),1291,Darryl Sydor,7,1990
7,North Bay (OHL),1045,Derian Hatcher,8,1990
8,Cornwall (OHL),268,John Slaney,9,1990
9,Kingston (OHL),549,Drake Berehowsky,10,1990
10,Brandon (WHL),387,Trevor Kidd,11,1990
11,Seattle (WHL),644,Turner Stevenson,12,1990
12,Michigan State (CCHA),1041,Brad May,13,1990
13,Niagara Falls (OHL),125,Mark Greig,14,1990
14,Lethbridge (WHL),644,Karl Dykhuis,15,1990
15,Hull (QMJHL),183,Shawn Antoski,16,1990
16,Prince Albert (WHL),1201,Keith Tkachuk,17,1990
17,North Bay (OHL),1266,Martin Brodeur,18,1990
18,Malden Catholic (High-MA),1056,Bryan Smolinski,19,1990
19,St. Hyacinthe (QMJHL),3,Ryan Hughes,20,1990
20,Michigan State (CCHA),622,Jiri Slegr,21,1990
21,Cornell (ECAC),212,David Harlock,22,1990
22,CHZ Litvinov (Czech),782,Chris Simon,23,1990
23,Michigan (CCHA),149,Chris Taylor,24,1990
24,Ottawa (OHL),1,Brandy Semchuk,25,1990
25,Hawkesbury (CJHL),635,Felix Potvin,26,1990
26,London (OHL),23,Vesa Viitakoski,27,1990
27,Canadian National,557,Craig Johnson,28,1990
28,Roseau (High-MN),1238,Doug Weight,29,1990
29,Cornwall (OHL),1104,Geoff Sanderson,30,1990
30,Chicoutimi (QMJHL),19,Ivan Droppa,31,1990
31,SaiPa (Finland),661,Mikael Renberg,32,1990
32,Hill-Murray (High-MN),8,Terran Sandwith,33,1990
33,Lake Superior State (CCHA),2,Brad Zavisha,34,1990
34,Wayzata (High-MN),27,Kimbi Daniels,35,1990
35,Swift Current (WHL),1182,Vyacheslav Kozlov,36,1990
36,Kosice Jr. (Slovak-Jr.),764,Chris Therien,37,1990
37,Boston University (H-East),159,Dan Plante,38,1990
38,Ottawa (OHL),394,Mike Dunham,39,1990
39,Pitea (Sweden),65,Patrice Tardif,40,1990
40,Cornell (ECAC),356,Brad Bombardir,41,1990
41,Tri-City (WHL),4,Mike Lenarduzzi,42,1990
42,Seattle (WHL),130,Joe Dziedzic,43,1990
43,Swift Current (WHL),202,Cam Stewart,44,1990
44,Khimik Voskresensk (Russia-2),129,Stewart Malgunas,45,1990
45,Oshawa (OHL),644,Chris Tamer,46,1990
46,Northwood School (High-NY),252,Jeff Nielsen,47,1990
47,Edina (High-MN),518,Darby Hendrickson,48,1990
48,Belleville (OHL),124,Scott Levins,49,1990
49,Prince Albert (WHL),807,Alex Zhamnov,50,1990
50,Peterborough (OHL),223,Gilbert Dionne,51,1990
51,Seattle (WHL),423,Paul Kruse,52,1990
52,Canterbury (High-CT),1068,Sergei Zubov,53,1990
53,Lennoxville,605,Gino Odjick,54,1990
54,North Bay (OHL),197,Dan Kordic,55,1990
55,Powell River (BCHL),13,Chris Marinucci,56,1990
56,Sault Ste. Marie (OHL),5,David Goverde,57,1990
57,St. Hyacinthe (QMJHL),374,Enrico Ciccone,58,1990
58,Lawrence Academy (High-MA),116,Dean Malkoc,59,1990
59,Longueuil (QMJHL),14,Jason Ruff,60,1990
60,Edison (High-MN),644,Richard Smehlik,61,1990
61,Rochester (USHL),21,Craig Martin,62,1990
62,Elmira Jr. B,192,Paul DiPietro,63,1990
63,Kingston (OHL),23,Mike Bales,64,1990
64,Saskatoon (WHL),489,Ian Moran,65,1990
65,Seattle (WHL),132,Viacheslav Butsayev,66,1990
66,Hull (QMJHL),12,Erik Andersson,67,1990
67,Michigan (CCHA),328,Roman Turek,68,1990
68,Grand Rapids (High-MN),223,Alexander Godynyuk,69,1990
69,Kamloops (WHL),1009,Craig Conroy,70,1990
70,Regina (WHL),20,Dwayne Norris,71,1990
71,Kitchener (OHL),757,Jason York,72,1990
72,Richfield (High-MN),989,Robert Lang,73,1990
73,Zetor Brno (Czech),472,Eric Lacroix,74,1990
74,Tri-City (WHL),289,Chris McAlpine,75,1990
75,Pingree (High-MA),23,John Lilley,76,1990
76,Dynamo Moscow (Russia),10,Jergus Baca,77,1990
77,Moose Jaw (WHL),26,Viktor Gordiouk,78,1990
78,Jefferson (High-MN),9,Pat Neaton,79,1990
79,Ottawa (OHL),620,Andrei Kovalenko,80,1990
80,Kitchener (OHL),4,Doug Barrault,81,1990
81,Pingree (High-MA),1081,Peter Bondra,82,1990
82,Kamloops (WHL),596,Alexander Karpovtsev,83,1990
83,Northwood School (High-NY),92,John Gruden,84,1990
84,CSKA Moscow (Russia),9,Ladislav Karabin,85,1990
85,Laval (QMJHL),934,Ken Klee,86,1990
86,Duluth-Denfield (High-MN),725,Jaroslav Modry,87,1990
87,Medicine Hat (WHL),1,Parris Duffus,88,1990
88,Avon Old Farms (High-CT),147,Corey Schwab,89,1990
89,Grand Rapids (High-MN),152,Mika Alatalo,90,1990
90,Sudbury (OHL),207,Espen Knutsen,91,1990
91,Trois-Rivieres (QMJHL),156,Tommy Soderstrom,92,1990
92,Tri-City (WHL),595,Valeri Zelepukin,93,1990
93,Michigan (CCHA),375,Steve Dubinsky,94,1990
94,Kamloops (WHL),79,Todd Hlushko,95,1990
95,Lethbridge (WHL),1,Nick Vachon,96,1990
96,TJ Vitkovice (Czech),183,Todd Reirden,97,1990
97,Hull (QMJHL),761,Sergei Nemchinov,98,1990
98,Ceske Budejovice (Czech-2),,,99,1990
99,Peterborough (OHL),,,100,1990
100,Cushing Academy (High-MA),,,101,1990
101,Sudbury (OHL),,,102,1990
102,North Dakota (WCHA),,,103,1990
103,Dukla Jihlava (Czech-2),,,104,1990
104,Ohio State (CCHA),,,105,1990
105,Minnesota-Duluth (WCHA),,,106,1990
106,Belmont Hill (High-MA),,,107,1990
107,Victoriaville (QMJHL),,,108,1990
108,CSKA Moscow (Russia),,,109,1990
109,Colorado College (WCHA),,,110,1990
110,Ottawa (OHL),,,111,1990
111,Danderyd,,,112,1990
