,Amateur Team,GP,Name,Overall Pick,Year
0,Erie (OHL),188,,1,1979.0
1,Boston University (H-East),197,,2,1980.0
2,Erie (OHL),18,,3,1981.0
3,London (OHL),141,,4,1982.0
4,Boston College (H-East),222,,5,1983.0
5,Sarnia (OHL),126,,6,1984.0
6,Brandon (WHL),144,,7,1985.0
7,Michigan (Big Ten),136,,8,1986.0
8,Halifax (QMJHL),95,,9,1987.0
9,TPS (Finland),144,,10,1988.0
10,Kingston (OHL),83,,11,1989.0
11,Togliatti 2 (Russia-Jr.),1,,12,1990.0
12,Saint John (QMJHL),55,,13,1991.0
13,Swift Current (WHL),65,,14,1992.0
14,Sault Ste. Marie (OHL),76,,15,1993.0
15,Seattle (WHL),43,,16,1994.0
16,Youngstown (USHL),2,,17,1995.0
17,Saint John (QMJHL),69,,18,1996.0
18,Cape Breton (QMJHL),17,,19,1997.0
19,Farjestad (Sweden),66,,20,1998.0
20,USA U-18 (USHL),131,,21,1999.0
21,Magnitogorsk 2 (Russia-Jr.),21,,22,2000.0
22,Waterloo (USHL),2,,23,2001.0
23,Ottawa (OHL),4,,24,2002.0
24,USA U-18 (USHL),118,,25,2003.0
25,Everett (WHL),16,,26,2004.0
26,Frolunda Jr. (Sweden-Jr.),1,,27,2005.0
27,Shawinigan (QMJHL),65,,28,2006.0
28,Linkoping Jr. (Sweden-Jr.),21,,29,2007.0
29,Kelowna (WHL),140,,30,2008.0
30,Sherbrooke (QMJHL),141,,31,2009.0
31,USA U-18 (USHL),22,,32,2010.0
32,Saginaw (OHL),1,,33,2011.0
33,Erie (OHL),26,,34,2012.0
34,Karpat (Finland),10,,35,2013.0
35,Victoriaville (QMJHL),5,,36,2014.0
36,Tri-City (WHL),2,,37,2015.0
37,Portland (WHL),55,,38,2016.0
38,Boston University (H-East),1,,39,
39,Baie Comeau (QMJHL),1,,40,
40,Seattle (WHL),3,,41,
41,Barrie (OHL),3,,42,
42,Kosice (Slovakia),10,,43,
43,Peterborough (OHL),86,,44,
44,Omaha (USHL),2,,45,
45,Charlottetown (QMJHL),33,,46,
46,Prince George (WHL),2,,47,
47,Charlottetown (QMJHL),10,,48,
48,Ilves (Finland),117,,49,
49,USA U-18 (USHL),,,50,
50,Prince Albert (WHL),,,51,
51,Rouyn-Noranda (QMJHL),,,52,
52,Barrie (OHL),,,53,
53,Niagara (OHL),,,54,
54,Gatineau (QMJHL),,,55,
55,Niagara (OHL),,,56,
56,Zurich (Swiss),,,57,
57,HV 71 Jr. (Sweden-Jr.),,,58,
58,JYP 2 (Finland-2),,,59,
59,Farjestad (Sweden),,,60,
60,USA U-18 (USHL),,,61,
61,AIK (Sweden-2),,,62,
62,Sudbury (OHL),,,63,
63,Shawinigan (QMJHL),,,64,
64,Lethbridge (WHL),,,65,
65,Acadie-Bathurst (QMJHL),,,66,
66,Sault Ste. Marie (OHL),,,67,
67,Riga 2 (Russia-Jr.),,,68,
68,Seattle (WHL),,,69,
69,Brynas Jr. (Sweden-Jr.),,,70,
70,Rouyn-Noranda (QMJHL),,,71,
71,Oshawa (OHL),,,72,
72,Green Bay (USHL),,,73,
73,SKA St. Petersburg 2 (Russia-Jr.),,,74,
74,Kladno (Czech-2),,,75,
75,Portland (WHL),,,76,
76,Blainville-Boisbriand (QMJHL),,,77,
77,Cedar Rapids (USHL),,,78,
78,Regina (WHL),,,79,
79,Green Bay (USHL),,,80,
80,USA U-18 (USHL),,,81,
81,Oshawa (OHL),,,82,
82,Brynas (Sweden),,,83,
83,Kamloops (WHL),,,84,
84,Waterloo (USHL),,,85,
85,Lawrence Academy (High-MA),,,86,
86,Djurgarden Jr. (Sweden-Jr.),,,87,
87,Owen Sound (OHL),,,88,
88,Assat (Finland),,,89,
89,Topeka (NAHL),,,90,
90,Chicago (USHL),,,91,
91,Moorhead (High-MN),,,92,
92,Quebec (QMJHL),,,93,
93,Red Deer (WHL),,,94,
94,Modo Jr. (Sweden-Jr.),,,95,
95,Chicoutimi (QMJHL),,,96,
96,Sault Ste. Marie (OHL),,,97,
97,Saint John (QMJHL),,,98,
98,Regina (WHL),,,99,
99,Val d'Or (QMJHL),,,100,
100,Dynamo Moscow (Russia),,,101,
101,Zurich (Swiss),,,102,
102,London (OHL),,,103,
103,Ufa 2 (Russia-Jr.),,,104,
104,Regina (WHL),,,105,
105,Spokane (WHL),,,106,
106,Muskegon (USHL),,,107,
107,Pardubice (Czech),,,108,
108,HV 71 Jr. (Sweden-Jr.),,,109,
109,Linkoping U18 (Sweden-Jr.),,,110,
110,Liberec Jr. (Czech-Jr.),,,111,
111,Tri-City (WHL),,,112,
112,Prince George (WHL),,,113,
113,Omsk 2 (Russia-Jr.),,,114,
114,Gatineau (QMJHL),,,115,
115,Swift Current (WHL),,,116,
116,USA U-18 (USHL),,,117,
117,Kalpa (Finland),,,118,
118,Djurgarden Jr. (Sweden-Jr.),,,119,
119,Saint John (QMJHL),,,120,
120,Boston College H.S. (High-MA),,,121,
121,Kelowna (WHL),,,122,
122,Moncton (QMJHL),,,123,
123,Seattle (WHL),,,124,
124,Quebec (QMJHL),,,125,
125,Noble & Greenough (High-MA),,,126,
126,Kalpa Jr. (Finland-Jr.),,,127,
127,Chomutov (Czech-2),,,128,
128,Prince George (WHL),,,129,
129,Riga 2 (Russia-Jr.),,,130,
130,Medicine Hat (WHL),,,131,
131,Culver Academy (High-IN),,,132,
132,Muskegon (USHL),,,133,
133,Sudbury (OHL),,,134,
134,Novokuznetsk (Russia),,,135,
135,Calgary (WHL),,,136,
136,Plzen (Czech),,,137,
137,Saint John (QMJHL),,,138,
138,Lulea Jr. (Sweden-Jr.),,,139,
139,Youngstown (USHL),,,140,
140,Blues Jr. (Finland-Jr.),,,141,
141,Stavanger (Norway),,,142,
142,Regina (WHL),,,143,
143,Sherbrooke (QMJHL),,,144,
144,Pardubice Jr. (Czech-Jr.),,,145,
145,USA U-18 (USHL),,,146,
146,Brandon (WHL),,,147,
147,USA U-18 (USHL),,,148,
148,Cedar Rapids (USHL),,,149,
149,Sioux City (USHL),,,150,
150,Kosice (Slovakia),,,151,
151,Lethbridge (WHL),,,152,
152,Omaha (USHL),,,153,
153,South Shore (USPHL),,,154,
154,Oshawa (OHL),,,155,
155,Kimball Union (High-NH),,,156,
156,Merrimack (H-East),,,157,
157,Sioux Falls (USHL),,,158,
158,Yaroslavl (Russia),,,159,
159,Wausau West (High-WI),,,160,
160,Drummondville (QMJHL),,,161,
161,Tri-City (USHL),,,162,
162,JYP Jr. (Finland-Jr.),,,163,
163,Barrie (OHL),,,164,
164,Wisconsin (Big Ten),,,165,
165,Barrie (OHL),,,166,
166,Western Michigan (NCHC),,,167,
167,Tri-City (USHL),,,168,
168,Cushing Academy (High-MA),,,169,
169,Boston Advantage U18 (USMAAA),,,170,
170,USA U-18 (USHL),,,171,
171,Lawrenceville (Mid-Atlantic),,,172,
172,Regina (WHL),,,173,
173,Trinec (Czech),,,174,
174,Harvard (ECAC),,,175,
175,Owen Sound (OHL),,,176,
176,Rimouski (QMJHL),,,177,
177,USA U-18 (USHL),,,178,
178,Madison (USHL),,,179,
179,Saint John (QMJHL),,,180,
180,HPK (Finland),,,181,
181,Minnesota Wilderness (NAHL),,,182,
182,Linkoping Jr. (Sweden-Jr.),,,183,
183,Green Bay (USHL),,,184,
184,Sarnia (OHL),,,185,
185,Peterborough (OHL),,,186,
186,Victoria (WHL),,,187,
187,Nizhnekamsk 2 (Russia-Jr.),,,188,
188,Karpat (Finland),,,189,
189,Langley (BCHL),,,190,
190,Rogle Jr. (Sweden-Jr.),,,191,
191,Kimball Union (High-NH),,,192,
192,Lone Star (NAHL),,,193,
193,Michigan Tech (WCHA),,,194,
194,Mahtomedi (High-MN),,,195,
195,North Bay (OHL),,,196,
196,Des Moines (USHL),,,197,
197,JYP 2 (Finland-2),,,198,
198,Cushing Academy (High-MA),,,199,
199,Saint John (QMJHL),,,200,
200,Sault Ste. Marie (OHL),,,201,
201,Linkoping Jr. (Sweden-Jr.),,,202,
202,Prince Albert (WHL),,,203,
203,Lakeville North (High-MN),,,204,
204,Austin (NAHL),,,205,
205,Johnstown (NAHL),,,206,
206,Ottawa (OHL),,,207,
207,Trinec Jr. (Czech-Jr.),,,208,
208,Kazan (Russia),,,209,
209,Prince George (WHL),,,210,
210,Frolunda Jr. (Sweden-Jr.),,,211,
