,Amateur Team,GP,Name,Overall Pick,Year
0,Michigan State (CCHA),779,Joe Murphy,1,1986
1,Verdun (QMJHL),626,Jimmy Carson,2,1986
2,Medicine Hat (WHL),89,Neil Brady,3,1986
3,Canadian National,637,Zarley Zalapski,4,1986
4,Canadian National,255,Shawn Anderson,5,1986
5,Laval (QMJHL),1378,Vincent Damphousse,6,1986
6,Portland (WHL),5,Dan Woodley,7,1986
7,Prince Albert (WHL),506,Pat Elynuik,8,1986
8,Avon Old Farms (High-CT),1205,Brian Leetch,9,1986
9,Laval (QMJHL),598,Jocelyn Lemieux,10,1986
10,Boston University (H-East),1181,Scott Young,11,1986
11,Lethbridge (WHL),21,Warren Babe,12,1986
12,Boston College (H-East),760,Craig Janney,13,1986
13,Verdun (QMJHL),164,Everett Sanipass,14,1986
14,Medicine Hat (WHL),169,Mark Pederson,15,1986
15,Bemidji (High-MN),1097,Tom Fitzgerald,16,1986
16,Austin Prep (High-MA),137,Ken McRae,17,1986
17,Sudbury (OHL),57,Jeff Greenlaw,18,1986
18,Canadian National,401,Kerry Huffman,19,1986
19,Guelph (OHL),4,Kim Issel,20,1986
20,Prince Albert (WHL),1152,Adam Graves,21,1986
21,Windsor (OHL),104,Dave Capuano,22,1986
22,Vassa Sport (Finland),94,Greg Brown,23,1986
23,Belmont Hill (High-MA),539,Benoit Brunet,24,1986
24,Mount St. Charles (High-RI),1372,Teppo Numminen,25,1986
25,St. Mark's (High-MA),460,Neil Wilkinson,26,1986
26,Hull (QMJHL),14,Marc Laforge,27,1986
27,Ottawa (OHL),40,Dean Kolstad,28,1986
28,Tappara Tampere (Finland),544,Darryl Shannon,29,1986
29,Selkirk,431,Brian Glynn,30,1986
30,Buffalo Jr. (OJHL),235,Dennis Vaske,31,1986
31,Kingston (OHL),8,Jean-Marc Routhier,32,1986
32,Prince Albert (WHL),4,Steve Seftel,33,1986
33,Sapko (Finland-2),34,Stephane Guerard,34,1986
34,Windsor (OHL),17,Derek Mayer,35,1986
35,Windsor (OHL),8,Denis Larocque,36,1986
36,Saskatoon (WHL),98,Janne Ojanen,37,1986
37,Armstrong (High-MN),14,Brad Aitken,38,1986
38,Hull (QMJHL),720,Bob Corkum,39,1986
39,Kingston (OHL),14,Don Gibson,40,1986
40,Shawinigan (QMJHL),15,Rick Bennett,41,1986
41,Portland (WHL),569,Rob Zettler,42,1986
42,Denver (WCHA),985,Jyrki Lumme,43,1986
43,Guelph (OHL),3,Brad Turner,44,1986
44,Tappara Tampere (Finland),546,Bill Berg,45,1986
45,Sault Ste. Marie (OHL),85,Jim Hrivnak,46,1986
46,U. of Maine (H-East),10,Ron Shudra,47,1986
47,Toronto (OHL),340,Tim Cheveldae,48,1986
48,Winkler (MJHL),33,Sylvain Couturier,49,1986
49,Karpat Oulu (Finland),104,Anders Carlsson,50,1986
50,U. of Alberta (CWUAA),543,Rob Brown,51,1986
51,Nichols (High-NY),638,Ron Stern,52,1986
52,U. of Alberta (CWUAA),114,Hannu Jarvenpaa,53,1986
53,Wilbraham Monson (High-MA),711,Mark Janssens,54,1986
54,Sault Ste. Marie (OHL),384,Glen Featherstone,55,1986
55,Windsor (OHL),3,Brian Chapman,56,1986
56,Ilves Tampere (Finland),1,Kirk Tomlinson,57,1986
57,Calgary (WHL),465,Frantisek Kucera,58,1986
58,Toronto (OHL),5,Shawn Byram,59,1986
59,Sault Ste. Marie (OHL),537,Ron Tugnutt,60,1986
60,Merrimack (H-East),22,Dan Currie,61,1986
61,Oshawa (OHL),609,Johan Garpenlov,62,1986
62,Kamloops (WHL),2,Craig Endean,63,1986
63,Saskatoon (WHL),43,Jeff Bloemberg,64,1986
