,Assists,GP,Goals,Name,Points,Year
0,,,,Andrei Khomutov,,1994
1,,,,Vyacheslav Bykov,,1994
2,,,,Igor Fedulov,,1994
3,,,,Ken Yaremchuk,,1994
4,,,,Pascal Schaller,,1994
5,,,,Tom Fergus,,1994
6,,,,Mike Richard,,1994
7,,,,Mikael Johansson,,1994
8,,,,Chad Silver,,1994
9,,,,Jan Larsson,,1994
10,,,,Gilles Thibaudeau,,1994
11,,,,Peter Jaks,,1994
12,,,,Anders Eldebrink,,1994
13,,,,Misko Antisin,,1994
14,,,,Gil Montandon,,1994
15,,,,Roberto Triulzi,,1994
16,,,,Theo Wittmann,,1994
17,,,,Felix Hollenstein,,1994
18,,,,Sergei Priakhin,,1994
19,,,,Paul Gagne,,1994
20,,,,Dan Quinn,,1994
